Candidate Rank,Priority Tier,Center Name,City,State/Country,Organization Type,Primary Wildlife Focus,Website URL,Link Hub URL,Facebook Handle,Facebook URL,Instagram Handle,Instagram URL,TikTok Handle,TikTok URL,YouTube Handle,YouTube URL,X / Other URL,Known Social URL Count,Verification Status,Inclusion Rationale,Source URL,Apify Search Query,FB Followers,IG Followers,TikTok Followers,YouTube Subscribers,Recent Posts 30D,Avg Engagement / Post,Last Scraped Date,Scrape Notes
1,A,The Marine Mammal Center,Sausalito,CA,Wildlife hospital,"Marine mammals; rescue, rehab, research, education",https://www.marinemammalcenter.org/,https://linktr.ee/themarinemammalcenter,@themarinemammalcenter,https://www.facebook.com/themarinemammalcenter,@themarinemammalcenter,https://www.instagram.com/themarinemammalcenter/,@themarinemammalcenter,https://www.tiktok.com/@themarinemammalcenter,@MarineMammalCenter,https://www.youtube.com/MarineMammalCenter,https://x.com/TMMC,6,Official site/Linktree confirmed; scrape for exact current metrics,One of the highest-profile wildlife hospitals; marine mammal rescue and education,https://www.marinemammalcenter.org/,"""The Marine Mammal Center"" wildlife rehabilitation official social media",,,,,,,,
2,A,International Bird Rescue,Fairfield / Los Angeles,CA,Wildlife hospital / rescue,Aquatic birds; oiled wildlife; avian emergency response,https://www.birdrescue.org/,,@intlbirdrescue,https://www.facebook.com/intlbirdrescue,@intlbirdrescue,https://www.instagram.com/intlbirdrescue/,@intl.bird.rescue,https://www.tiktok.com/@intl.bird.rescue,user/IntBirdRescue,https://www.youtube.com/user/IntBirdRescue,https://x.com/IntBirdRescue,5,High-confidence official seed; TikTok handle noted in public Facebook snippet,Global authority on aquatic bird rescue and oiled wildlife response,https://www.birdrescue.org/,"""International Bird Rescue"" wildlife rehabilitation official social media",,,,,,,,
3,A,Wildlife Center of Virginia,Waynesboro,VA,Teaching wildlife hospital,"Native wildlife; bears, raptors, reptiles, mammals; professional training",https://wildlifecenter.org/,,@wildlifecenter,https://www.facebook.com/wildlifecenter,@wildlifecenter,https://www.instagram.com/wildlifecenter/,,,@WildlifeCenterVA,https://www.youtube.com/@WildlifeCenterVA,https://x.com/WCVtweets,4,Official website and YouTube/Facebook search snippets confirmed,World-class teaching hospital with high Facebook presence and active YouTube archive,https://wildlifecenter.org/,"""Wildlife Center of Virginia"" wildlife rehabilitation official social media",,,,,,,,
4,A,Wildlife Rehabilitation Center of Minnesota,Roseville,MN,Wildlife hospital,All native wildlife; large-volume intake; education,https://wrcmn.org/,https://linktr.ee/wrcmn,@WRCMN,https://www.facebook.com/WRCMN,@wrcmn,https://www.instagram.com/wrcmn/,,,,,,3,Official website/Linktree/Facebook search snippets confirmed,Often cited as one of the busiest wildlife hospitals; major intake volume,https://wrcmn.org/,"""Wildlife Rehabilitation Center of Minnesota"" wildlife rehabilitation official social media",,,,,,,,
5,A,Lindsay Wildlife Experience / Wildlife Rehabilitation Hospital,Walnut Creek,CA,Wildlife hospital / education center,"Native birds, mammals, reptiles; education",https://lindsaywildlife.org/,,@lindsaywildlife,https://www.facebook.com/lindsaywildlife,@lindsaywildlife,https://www.instagram.com/lindsaywildlife/,@lindsaywildlife,https://www.tiktok.com/@lindsaywildlife,@LindsayWildlife,https://www.youtube.com/@LindsayWildlife,,4,High-confidence official seed; verify platform-specific URLs,Pioneer wildlife rehabilitation hospital and active public education brand,https://lindsaywildlife.org/hospital-2/,"""Lindsay Wildlife Experience / Wildlife Rehabilitation Hospital"" wildlife rehabilitation official social media",,,,,,,,
6,A,Clinic for the Rehabilitation of Wildlife (CROW),Sanibel,FL,Teaching wildlife hospital,"Native and migratory wildlife; veterinary care, research, education",https://crowclinic.org/,,@CROWClinic,https://www.facebook.com/CROWClinic,@crowclinic,https://www.instagram.com/crowclinic/,@crowclinic,https://www.tiktok.com/@crowclinic,@CROWClinic,https://www.youtube.com/@CROWClinic,https://x.com/CROWClinic,5,High-confidence official seed; verify platform-specific URLs,Teaching hospital with broad species content and strong Florida relevance,https://crowclinic.org/wildlife-hospital/,"""Clinic for the Rehabilitation of Wildlife (CROW)"" wildlife rehabilitation official social media",,,,,,,,
7,A,WildCare,San Rafael,CA,Wildlife hospital / nature education,Bay Area native wildlife; coexistence education,https://discoverwildcare.org/,https://bit.ly/m/WildCare,@WildCareBayArea,https://www.facebook.com/WildCareBayArea,@discoverwildcare,https://www.instagram.com/discoverwildcare/,@discoverwildcare,https://www.tiktok.com/@discoverwildcare,@WildCareBayArea,https://www.youtube.com/WildCareBayArea,,5,Official website and YouTube snippet confirmed; Instagram handle to verify,High-volume wildlife hospital with long education archive,https://discoverwildcare.org/,"""WildCare"" wildlife rehabilitation official social media",,,,,,,,
9,A,Southwest Virginia Wildlife Center of Roanoke,Roanoke,VA,Wildlife hospital,Western Virginia native wildlife; veterinary treatment; live feeds,https://swvawildlifecenter.org/,https://linktr.ee/swvawildlifecenter,@SWVAWILDLIFE,https://www.facebook.com/SWVAWILDLIFE,@swvawildlifecenter,https://www.instagram.com/swvawildlifecenter/,@swvawildlifecenter,https://www.tiktok.com/@swvawildlifecenter,@swvawildlife,https://www.youtube.com/@swvawildlife,https://x.com/SWVAWildlife,6,Official website/Linktree/search snippets confirmed,Virginia example supplied; strong Facebook activity and live-feed potential,https://swvawildlifecenter.org/,"""Southwest Virginia Wildlife Center of Roanoke"" wildlife rehabilitation official social media",,,,,,,,
10,A,San Diego Humane Society Project Wildlife,San Diego,CA,Wildlife rehab program,Native wildlife rehabilitation under SDHS; education,https://www.sdhumane.org/programs/project-wildlife/,,@SanDiegoHumaneSociety,https://www.facebook.com/SanDiegoHumaneSociety,@sandiegohumane,https://www.instagram.com/sandiegohumane/,@sandiegohumane,https://www.tiktok.com/@sandiegohumane,@SanDiegoHumaneSociety,https://www.youtube.com/@SanDiegoHumaneSociety,https://x.com/sdhumane,5,Uses parent-organization social accounts; tag/filter Project Wildlife posts,Large institutional wildlife program; useful for high-volume rescue education content,https://www.sdhumane.org/programs/project-wildlife/,"""San Diego Humane Society Project Wildlife"" wildlife rehabilitation official social media",,,,,,,,
11,A,California Wildlife Center,Malibu / Calabasas,CA,Wildlife hospital / rescue,Native California wildlife; marine mammal response; hospital care,https://cawildlife.org/,,@CalWildlife,https://www.facebook.com/CalWildlife,@californiawildlifecenter,https://www.instagram.com/californiawildlifecenter/,@californiawildlifecenter,https://www.tiktok.com/@californiawildlifecenter,@CaliforniaWildlifeCenter,https://www.youtube.com/@CaliforniaWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Large Southern California wildlife hospital/rescue with public education,https://cawildlife.org/,"""California Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
